DEADLINE,LIFE_LOAN,ITEM_AMOUNT,MONEY_RATE
2015-05-10,720,24600,16
2015-05-10,180,300000,18
2015-05-11,1080,65800,16
2015-05-11,720,53200,16
2015-05-11,720,39900,16
2015-05-12,720,55600,16
2015-05-12,720,53200,16
2015-05-12,720,49200,16
2015-05-12,180,1000000,18
2015-05-12,720,39900,16
2015-05-12,180,200000,18
2015-05-13,1080,52600,16
2015-05-13,1080,52600,16
2015-05-13,720,49200,16
2015-05-13,180,1000000,18
2015-05-13,720,36900,16
2015-05-13,180,500000,18
2015-05-14,720,55600,16
2015-05-14,1080,52600,16
2015-05-14,720,49200,16
2015-05-14,1080,39400,16
2015-05-14,180,650000,18
2015-05-14,720,36900,16
2015-05-15,720,69500,16
2015-05-15,720,55600,16
2015-05-15,720,39900,16
2015-05-15,720,36900,16
2015-05-15,720,36900,16
2015-05-15,180,500000,18
2015-05-16,720,55600,16
2015-05-16,720,41700,16
2015-05-16,720,39900,16
2015-05-16,720,36900,16
2015-05-17,720,53200,16
2015-05-17,720,36900,16
2015-05-18,720,61500,16
2015-05-18,720,53200,16
2015-05-18,720,39900,16
2015-05-18,720,36900,16
2015-05-19,720,61500,16
2015-05-19,720,53200,16
2015-05-19,720,36900,16
2015-05-19,720,26600,16
